mechanism,rate,feature,auroc_mean,auroc_std,missing_rate_mean,n_seeds,leak_strength
MAR,0.3,lab_51222,0.5308469815996226,0.013450021978469754,0.41110361480008517,20,0.030846981599622625
MAR,0.3,lab_51248,0.5397429976262174,0.010882708145948529,0.4135963354875364,20,0.03974299762621736
MAR,0.3,lab_51249,0.5356775386670911,0.01290922740449049,0.4132803067963923,20,0.03567753866709111
MAR,0.3,lab_51250,0.5312343801968477,0.012236899063616117,0.4127228179816774,20,0.031234380196847655
MAR,0.3,lab_51265,0.5371112885149386,0.012621877567399638,0.40839073929408426,20,0.03711128851493861
MAR,0.3,lab_51274,0.4368633308188309,0.011579602033481464,0.6201299623606278,20,0.06313666918116911
MAR,0.3,lab_51275,0.44071849873209634,0.013576046541902248,0.6358000142035367,20,0.05928150126790366
MAR,0.3,lab_51277,0.5373990602979869,0.01183337079349474,0.4132767559122222,20,0.0373990602979869
MAR,0.3,lab_51279,0.5378022593476597,0.011124822420143666,0.41388750798948937,20,0.037802259347659684
MAR,0.3,lab_51301,0.5380852324747794,0.016496253391277204,0.4138946097578297,20,0.03808523247477935
MAR,0.3,lab_52172,0.5122000661939727,0.008844040922844458,0.6971699453163838,20,0.012200066193972736
MAR,0.3,marital_status,0.5834352839929051,0.00991067734503852,0.3929585966905759,20,0.08343528399290512
MAR,0.3,race,0.5559026979132614,0.012318640867685417,0.37469639940345145,20,0.05590269791326141
MAR,0.4,admission_location,0.5691735971539035,0.010710974685632065,0.49952773240536896,20,0.06917359715390348
MAR,0.4,admission_type,0.5691122527241913,0.010975269319050632,0.5006249556139479,20,0.0691122527241913
MAR,0.4,anchor_age,0.5656449464809924,0.009495805363056177,0.4984447127334707,20,0.0656449464809924
MAR,0.4,anchor_year,0.5692901846469879,0.01152632457794909,0.4997194801505575,20,0.06929018464698788
MAR,0.4,anchor_year_group,0.5694796323262703,0.009564949255044359,0.5006072011930971,20,0.0694796323262703
MAR,0.4,gender,0.5697541174808675,0.011913886945375799,0.4995135288686883,20,0.06975411748086746
MAR,0.4,insurance,0.5731606339640216,0.010389849447001926,0.5071195227611676,20,0.07316063396402162
MAR,0.4,lab_50802,0.3858954933140424,0.008350326109280928,0.9092784603366239,20,0.11410450668595762
MAR,0.4,lab_50820,0.38694061818494174,0.010995299581298183,0.9037497336836873,20,0.11305938181505826
MAR,0.4,lab_50821,0.38692050759296975,0.009870036874188937,0.9096548540586606,20,0.11307949240703025
MAR,0.4,lab_50861,0.4731872784628994,0.010721828439286136,0.7581279738654925,20,0.026812721537100626
MAR,0.4,lab_50863,0.47077342222432106,0.009323326266683552,0.7649279170513458,20,0.02922657777567894
MAR,0.4,lab_50868,0.5448803837052096,0.011190270601904003,0.5514878204672964,20,0.04488038370520964
MAR,0.4,lab_50878,0.47294986457918176,0.01092818060078672,0.7567750869966622,20,0.027050135420818244
MAR,0.4,lab_50882,0.5449848346188778,0.012157059308540961,0.5510049002201548,20,0.04498483461887781
MAR,0.4,lab_50885,0.4699317949680368,0.009519104824628,0.7644734038775656,20,0.030068205031963224
MAR,0.4,lab_50893,0.5311126581928068,0.009889117032747046,0.5853064413038847,20,0.03111265819280684
MAR,0.4,lab_50902,0.5465642844842712,0.009763323259119562,0.5491832966408635,20,0.04656428448427119
MAR,0.4,lab_50912,0.5561830605308463,0.009958255855282133,0.5396527235281585,20,0.05618306053084632
MAR,0.4,lab_50931,0.544162620800947,0.009665736448720591,0.5520488601661814,20,0.04416262080094702
MAR,0.4,lab_50960,0.532724940431531,0.009654073054080059,0.5800688871529011,20,0.03272494043153096
MAR,0.4,lab_50970,0.534249615395106,0.012458108557996046,0.5884099140686031,20,0.03424961539510596
MAR,0.4,lab_50971,0.5475243515250058,0.012608265119576776,0.5473119806831901,20,0.04752435152500578
MAR,0.4,lab_50983,0.5471612159091881,0.010218686246936603,0.5478801221504155,20,0.04716121590918809
