mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MCAR,0.1,S1,1005,xgb,0.956309452270791,rf,0.9468246667023275,0.00948478556846355
MCAR,0.1,S1,1006,xgb,0.9477219417475906,extratrees,0.9419772742248818,0.005744667522708857
MCAR,0.1,S1,1007,xgb,0.9503606648191193,extratrees,0.9460737063110732,0.004286958508046057
MCAR,0.1,S1,1008,xgb,0.9437958759510543,extratrees,0.9431367685396503,0.0006591074114039586
MCAR,0.1,S1,1009,xgb,0.9519419378463013,rf,0.9459755962554173,0.00596634159088405
MCAR,0.1,S1,1010,xgb,0.953418998885448,rf,0.9470603739553995,0.006358624930048462
MCAR,0.1,S1,1011,xgb,0.9536781133853832,extratrees,0.9468263760277071,0.00685173735767608
MCAR,0.1,S1,1012,xgb,0.9522970398991681,rf,0.9478638885186514,0.004433151380516698
MCAR,0.1,S1,1013,xgb,0.9485332990242444,extratrees,0.9457886575558037,0.0027446414684407783
MCAR,0.1,S1,1014,xgb,0.9493807446854113,rf,0.9475206192568054,0.0018601254286059188
MCAR,0.1,S1,1015,xgb,0.9431326651521168,rf,0.9425790316890295,0.0005536334630873441
MCAR,0.1,S1,1016,xgb,0.9490425723024565,extratrees,0.9476570760469369,0.001385496255519536
MCAR,0.1,S1,1017,xgb,0.9519822191962891,rf,0.944857846925944,0.007124372270345125
MCAR,0.1,S1,1018,xgb,0.9505396787562793,rf,0.9465009312127177,0.004038747543561594
MCAR,0.1,S1,1019,xgb,0.9529982586767108,extratrees,0.9450343714783029,0.007963887198407904
MCAR,0.1,S1,1020,xgb,0.946314348734232,extratrees,0.9444559315584181,0.00185841717581392
MCAR,0.1,S2,1001,xgb,0.9528907494102488,rf,0.9454229536325849,0.007467795777663877
MCAR,0.1,S2,1002,xgb,0.947569371365591,rf,0.9414792132599695,0.006090158105621524
MCAR,0.1,S2,1003,xgb,0.9500504229497171,rf,0.9457755618050327,0.004274861144684339
MCAR,0.1,S2,1004,xgb,0.9486997170712341,rf,0.944904493325873,0.0037952237453611204
MCAR,0.1,S2,1005,xgb,0.9465756658306257,rf,0.9440075437612402,0.0025681220693855034
MCAR,0.1,S2,1006,xgb,0.947852711576385,rf,0.9451837614160749,0.002668950160310102
MCAR,0.1,S2,1007,xgb,0.9508183864730748,rf,0.9451749760410753,0.005643410431999563
