mechanism,rate,split,model,seed,fold,auroc,ap,brier,ece
MCAR,0.0,S1,extratrees,1004,4,0.9314185495626822,0.4626936549366702,0.0187065400094696,0.0053420928030303
MCAR,0.0,S1,extratrees,1004,5,0.9506397797214124,0.5745461942761554,0.0166578914141414,0.0097147253787878
MCAR,0.0,S1,lr_l2,1005,1,0.8797055251973285,0.4511147476656463,0.018335726627444,0.0067580534769657
MCAR,0.0,S1,lr_l2,1005,2,0.90079786551733,0.3960630450846408,0.0192397260082598,0.0043612892546351
MCAR,0.0,S1,lr_l2,1005,3,0.93282536750558,0.5079575073744736,0.0165655556583161,0.0067425743750594
MCAR,0.0,S1,lr_l2,1005,4,0.8954486556527373,0.4470143053789497,0.0180267209404128,0.0048096374670056
MCAR,0.0,S1,lr_l2,1005,5,0.8532100340136055,0.3966627920651521,0.0194177007808587,0.0050728988991314
MCAR,0.0,S1,svm_linear_cal,1005,1,0.8691560412871889,0.481674503924694,0.0181882767251109,0.0089658397311242
MCAR,0.0,S1,svm_linear_cal,1005,2,0.8971086995561712,0.4173967867217015,0.0190251996479007,0.0048220711966648
MCAR,0.0,S1,svm_linear_cal,1005,3,0.9177505836476052,0.4927292224748611,0.0170494476413552,0.0064101465258997
MCAR,0.0,S1,svm_linear_cal,1005,4,0.8873805474570781,0.4770090860989195,0.0178027130809091,0.0076802270486239
MCAR,0.0,S1,svm_linear_cal,1005,5,0.8481687317784257,0.3956323796311605,0.0197193024340632,0.0066575878325708
MCAR,0.0,S1,rf,1005,1,0.9542476219388788,0.6141592736757115,0.016147846408709,0.009827239379955
MCAR,0.0,S1,rf,1005,2,0.9076810590317864,0.5209252129720636,0.0166569168244949,0.0056344696969696
MCAR,0.0,S1,rf,1005,3,0.9634623771774544,0.5762908110463911,0.016067805990202,0.0087658042897642
MCAR,0.0,S1,rf,1005,4,0.9567186993845158,0.5751073733025588,0.0165604083030016,0.0074096991591147
MCAR,0.0,S1,rf,1005,5,0.9530440152251376,0.5081445929313498,0.0174629170706348,0.0040456173884524
MCAR,0.0,S1,xgb,1005,1,0.963635903663226,0.5930993936092223,0.0153659349307417,0.0050902876603053
MCAR,0.0,S1,xgb,1005,2,0.9379665973985992,0.5408360119842661,0.0162674002349376,0.0123205238309044
MCAR,0.0,S1,xgb,1005,3,0.9623335642268914,0.6132984021020101,0.0150212552398443,0.0087704388637916
MCAR,0.0,S1,xgb,1005,4,0.9694231859410432,0.5978272025800573,0.0158235859125852,0.0092050554973248
MCAR,0.0,S1,xgb,1005,5,0.9561416828636216,0.5263389598349932,0.0171011127531528,0.0068208447504399
MCAR,0.0,S1,extratrees,1005,1,0.9602383120825744,0.6108054468852081,0.0167203457184554,0.0101449532599692
MCAR,0.0,S1,extratrees,1005,2,0.9211498499191872,0.5377604762957673,0.0170394472064393,0.0074526515151515
MCAR,0.0,S1,extratrees,1005,3,0.96619974858257,0.6041097873898764,0.0159328016493055,0.012212949810606
MCAR,0.0,S1,extratrees,1005,4,0.9608387998056366,0.5791244331793295,0.0168788529829545,0.0088517992424242
MCAR,0.0,S1,extratrees,1005,5,0.9445178368966634,0.498104786166405,0.0177083323469065,0.0048407907196969
MCAR,0.0,S1,lr_l2,1006,1,0.8700313701679822,0.4666646976449061,0.0176605970495769,0.0048837408476976
MCAR,0.0,S1,lr_l2,1006,2,0.8761589573873112,0.437872910116202,0.0184613551962904,0.0045511308388565
MCAR,0.0,S1,lr_l2,1006,3,0.8946458349367606,0.3950544966510881,0.019429422578344,0.0047578858263437
MCAR,0.0,S1,lr_l2,1006,4,0.9093577907353416,0.4212554966473714,0.0186779595010132,0.0055596289405185
MCAR,0.0,S1,lr_l2,1006,5,0.9055869371558148,0.4832564446053068,0.0174073559454837,0.0049364348658672
MCAR,0.0,S1,svm_linear_cal,1006,1,0.8630186197126087,0.4758947545630573,0.0175896596717559,0.0065427342022996
MCAR,0.0,S1,svm_linear_cal,1006,2,0.8589035121475666,0.4100426264667552,0.0193688628418731,0.0062282809601033
MCAR,0.0,S1,svm_linear_cal,1006,3,0.8906642038020472,0.4192777065489346,0.018917109939438,0.0060717239722567
MCAR,0.0,S1,svm_linear_cal,1006,4,0.9063917233560091,0.4535870078769269,0.0182508959683461,0.0066841982734006
MCAR,0.0,S1,svm_linear_cal,1006,5,0.8952563168124392,0.4978417854874886,0.0174135228385548,0.0061221034445793
MCAR,0.0,S1,rf,1006,1,0.947925521149565,0.5930201854141853,0.0163308929969305,0.0093338605670228
MCAR,0.0,S1,rf,1006,2,0.9607840119038455,0.5568437393682669,0.0167376561692263,0.0076081866140025
MCAR,0.0,S1,rf,1006,3,0.9349649811436926,0.529920713932219,0.0169247514204545,0.0073153409090909
