mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S1,rf,1003,0.9511291524128351,0.5541434054751666,0.01668193256413732,0.00641464158116824,0.011709187388558091,0.04769687020457344,0.000772998293846485
MAR,0.0,S1,rf,1004,0.9499304194797755,0.5566716378702126,0.016588951974770023,0.0089412357543491,0.014494566191156475,0.0870285420882058,0.0015498437772050607
MAR,0.0,S1,rf,1005,0.9470307545515546,0.558925452785615,0.01657917891940846,0.00713656598285118,0.022363449608231452,0.04369467685739018,0.0005556389667247891
MAR,0.0,S1,rf,1006,0.9475978766003536,0.5447350113694693,0.0169097036385184,0.00690464590261642,0.009538679402392275,0.030787330718719284,0.0004023480468992732
MAR,0.0,S1,rf,1007,0.9521714226294495,0.5661418458364701,0.01642900829995616,0.00819724142061504,0.0027562270875625267,0.012020430117802523,0.00013725706340318955
MAR,0.0,S1,rf,1008,0.9486893203306593,0.5610726435360336,0.016508870297095902,0.00604536918423646,0.009613676199746108,0.05115582443446922,0.0009433899473313007
MAR,0.0,S1,rf,1009,0.9507452238138777,0.5566858892130078,0.016595081172689357,0.00642442886082908,0.00886192709656044,0.050571226452569916,0.0006802790676806793
MAR,0.0,S1,rf,1010,0.9484764679106987,0.5591721223455082,0.01655001239922482,0.0077793432760668605,0.02197768165427346,0.0686727484620827,0.0011267310046467996
MAR,0.0,S1,rf,1011,0.9490058435961627,0.563542766377133,0.01640214850717436,0.006891914943349581,0.009151467797186006,0.017792193809138344,0.00038706376517489886
MAR,0.0,S1,rf,1012,0.9498715441156496,0.5608282560096038,0.016537404381290522,0.0071367832635526995,0.013696746688622502,0.05159902177587086,0.0009104746963045783
MAR,0.0,S1,rf,1013,0.9507423072068086,0.5560514177470253,0.01661610618459108,0.00790307337542508,0.005563852965864204,0.0660368277521667,0.0012558528325720547
MAR,0.0,S1,rf,1014,0.9525366068208732,0.5595275100571308,0.01651711414857246,0.0069563180544643,0.010842219905452649,0.059794285925202695,0.0011430241536162648
MAR,0.0,S1,rf,1015,0.948794402911777,0.561740434572405,0.01652317048510294,0.006983239317776441,0.015281382424379084,0.06415426600024209,0.0010349543660901944
